filepath,steering
dataset/2019-4-11-20-22-44 231702.jpeg,-0.11999999731779099
dataset/2019-4-11-20-22-44 323706.jpeg,-0.25999999046325684
dataset/2019-4-11-20-22-44 406395.jpeg,-0.4399999976158142
dataset/2019-4-11-20-22-44 492435.jpeg,-0.47999998927116394
dataset/2019-4-11-20-22-44 579576.jpeg,-0.7200000286102295
dataset/2019-4-11-20-22-44 662577.jpeg,-0.8600000143051147
dataset/2019-4-11-20-22-44 743222.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-44 823644.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-44 902291.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-44 984217.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-45 70195.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-45 150012.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-45 232732.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-45 318982.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-45 396423.jpeg,0.0
dataset/2019-4-11-20-22-45 474575.jpeg,0.0
dataset/2019-4-11-20-22-45 557676.jpeg,0.0
dataset/2019-4-11-20-22-45 647710.jpeg,0.0
dataset/2019-4-11-20-22-45 736075.jpeg,0.0
dataset/2019-4-11-20-22-45 813405.jpeg,-0.25999999046325684
dataset/2019-4-11-20-22-45 892412.jpeg,-0.41999998688697815
dataset/2019-4-11-20-22-45 968702.jpeg,-0.5799999833106995
dataset/2019-4-11-20-22-46 48541.jpeg,-0.6399999856948853
dataset/2019-4-11-20-22-46 125610.jpeg,-0.7200000286102295
dataset/2019-4-11-20-22-46 202066.jpeg,-0.9399999976158142
dataset/2019-4-11-20-22-46 283827.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 373792.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 452045.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 530056.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 609770.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 690975.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 774950.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 856209.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-46 934361.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 17944.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 99225.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 178864.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 257804.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 337523.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 417652.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 497338.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 577238.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 662609.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 741934.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 821137.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 900568.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-47 979558.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 59038.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 138311.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 216626.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 297994.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 379384.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 457867.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 537611.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 621608.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 701820.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 781895.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 861514.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-48 943826.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 26851.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 107001.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 186783.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 267801.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 351143.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 432743.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 512440.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 599345.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 681648.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 761616.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 842428.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-49 922794.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-50 3161.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-50 82641.jpeg,-0.9800000190734863
dataset/2019-4-11-20-22-50 163551.jpeg,-0.9800000190734863
